2,52	6,108	3,966
2,54	6,139	3,982
2,56	6,168	3,997
2,58	6,198	4,013
2,60	6,228	4,028
2,62	6,257	4,043
2,64	6,286	4,058
2,66	6,315	4,073
2,68	6,344	4,088
2,70	6,373	4,102
2,72	6,401	4,116
2,74	6,430	4,130
2,76	6,458	4,144
2,78	6,486	4,158
2,80	6,514	4,172
2,82	6,541	4,186
2,84	6,569	4,199
2,86	6,596	4,212
2,88	6,623	4,225
2,90	6,650	4,238
2,92	6,676	4,251
2,94	6,703	4,263
2,96	6,729	4,276
2,98	6,755	4,288
3,00	6,781	4,300
3,02	6,807	4,312
3,04	6,832	4,324
3,06	6,858	4,335
3,08	6,883	4,347
3,10	6,908	4,358
3,12	6,933	4,369
3,14	6,957	4,380
3,16	6,982	4,391
3,18	7,006	4,402
3,20	7,030	4,412
3,22	7,054	4,422
3,24	7,077	4,432
3,26	7,101	4,442
3,28	7,124	4,452
3,30	7,147	4,462
3,32	7,170	4,472
3,34	7,193	4,481
3,36	7,215	4,490
3,38	7,238	4,499
3,40	7,260	4,508
3,42	7,282	4,517
3,44	7,303	4,525
3,46	7,325	4,534
3,48	7,346	4,542
3,50	7,367	4,550
3,52	7,388	4,558
3,54	7,409	4,566
3,56	7,430	4,573
3,58	7,450	4,581
3,60	7,470	4,588
3,62	7,490	4,595
3,64	7,510	4,602
3,66	7,530	4,609
3,68	7,549	4,616
3,70	7,568	4,622
3,72	7,587	4,628
3,74	7,606	4,634
3,76	7,625	4,640
3,78	7,643	4,646
3,80	7,661	4,652
3,82	7,679	4,658
3,84	7,697	4,663
3,86	7,714	4,668
3,88	7,732	4,673
3,90	7,749	4,678
3,92	7,766	4,683
3,94	7,783	4,687
3,96	7,799	4,692
3,98	7,816	4,696
4,00	7,832	4,700
4,02	7,848	4,704
4,04	7,864	4,708
4,06	7,879	4,711
4,08	7,895	4,715
4,10	7,910	4,718
4,12	7,925	4,721
4,14	7,940	4,724
4,16	7,954	4,727
4,18	7,968	4,730
4,20	7,983	4,732
4,22	7,997	4,734
4,24	8,010	4,736
4,26	8,024	4,738
4,28	8,037	4,740
4,30	8,050	4,742
4,32	8,063	4,744
4,34	8,076	4,745
4,36	8,088	4,746
4,38	8,100	4,747
4,40	8,113	4,748
4,42	8,124	4,749
4,44	8,136	4,749
4,46	8,147	4,750
4,48	8,159	4,750
4,50	8,170	4,750
4,52	8,180	4,750
4,54	8,191	4,750
4,56	8,201	4,749
4,58	8,212	4,749
4,60	8,221	4,748
4,62	8,231	4,747
4,64	8,241	4,746
4,66	8,250	4,745
4,68	8,259	4,744
4,70	8,268	4,742
4,72	8,277	4,740
4,74	8,285	4,738
4,76	8,293	4,736
4,78	8,301	4,734
4,80	8,309	4,732
4,82	8,317	4,730
4,84	8,324	4,727
4,86	8,331	4,724
4,88	8,338	4,721
4,90	8,345	4,718
4,92	8,351	4,715
4,94	8,358	4,711
4,96	8,364	4,708
4,98	8,369	4,704
5,00	8,375	4,700
5,02	8,380	4,696
5,04	8,386	4,692
5,06	8,391	4,687
5,08	8,395	4,683
5,10	8,400	4,678
5,12	8,404	4,673
5,14	8,408	4,668
5,16	8,412	4,663
5,18	8,416	4,658
5,20	8,419	4,652
5,22	8,422	4,646
5,24	8,425	4,640
5,26	8,428	4,634
5,28	8,430	4,628
5,30	8,433	4,622
5,32	8,435	4,616
5,34	8,436	4,609
5,36	8,438	4,602
5,38	8,439	4,595
5,40	8,441	4,588
5,42	8,441	4,581
5,44	8,442	4,573
5,46	8,443	4,566
5,48	8,443	4,558
5,50	8,443	4,550
5,52	8,443	4,542
5,54	8,442	4,534
5,56	8,442	4,525
5,58	8,441	4,517
5,60	8,439	4,508
